wavelength,k,E_abs,E_sca,b
646,0.00426283048114918,266.570065126919,4023.17478222678,0.0053449453125422
648,0.0045203725615229,280.068176696956,4007.16059501624,0.00528945803355828
650,0.00479984782541308,294.521701133646,3989.43137246159,0.0052214210496359
652,0.00503998161972932,306.603444967066,3975.47001597402,0.00515240671386749
654,0.00532259917352157,320.748525073512,3958.01909005894,0.00506842322032466
656,0.00564807756157806,336.880167919606,3937.13693512789,0.00497122364140431
658,0.00618220399913204,363.289566165767,3898.84432202022,0.00483579105948295
660,0.00707203765360044,406.244354524599,3832.05176387679,0.00464513015751046
662,0.00813356602831798,455.137437144941,3753.94671992243,0.00443657601937991
664,0.00980645832638241,527.643295461581,3633.14497615509,0.00415811883026937
666,0.0122217480367101,622.843680382156,3468.64520627503,0.00381823903707856
668,0.0136018417616995,671.882199399348,3383.64270579526,0.00362576152695029
670,0.0157689534155617,743.277482258667,3255.0219124361,0.00337507678854945
672,0.0168929505135324,776.813646276291,3194.82878371085,0.00324117155724813
674,0.0174515239665245,792.077652593216,3168.48274476335,0.00316392775332633
676,0.0170997131890886,780.167461607757,3193.7341757983,0.00316641484091255
678,0.0156589732689892,734.117725007109,3283.29781078545,0.00326743907794956
680,0.0132692617984644,652.023809397481,3438.08539605889,0.00347407863234963
682,0.0109723735716467,564.473140902462,3599.20866315811,0.00370164946701522
684,0.0090056771677387,481.965772121062,3748.04110922679,0.00391955102324558
686,0.00661772537955905,372.027280251352,3941.60441646685,0.00422132130897296
688,0.00505883535914175,293.499862605294,4078.06521822285,0.00443483562389606
690,0.00392440585869617,232.8110576993,4182.89606110297,0.00459798991908392
692,0.00289203793426984,175.046762094231,4282.05009472863,0.00475387128688628
694,0.00176640684555005,109.326156837242,4393.78879966868,0.00493414426772615
696,0.00115912789907586,72.51087345321,4457.31875358708,0.00503027669092925
698,0.000899260524174608,56.4165061637313,4486.68893030928,0.00506657115470365
700,0.000725868967378344,45.5840266668648,4507.42122299013,0.00508869642209124
